Date,Close,Max,Min,Volume,RSI,RSI_Signal,Stoch_K,Stoch_D,Stoch_Signal,WilliamsR,WilliamsR_Signal,CCI,CCI_Signal,MFI,MFI_Signal,SMA,EMA,WMA,SMA_Signal,EMA_Signal,WMA_Signal
2015-03-09,1000.0,1000.0,1000.0,54.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,,,,HOLD,HOLD,HOLD
2015-07-06,1000.0,1000.0,1000.0,43.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,,,,HOLD,HOLD,HOLD
2015-08-31,1000.0,1000.0,1000.0,88.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,,,,HOLD,HOLD,HOLD
2015-12-14,1000.0,1000.0,1000.0,43.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,,,,HOLD,HOLD,HOLD
2016-02-01,1000.0,1000.0,1000.0,35.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,,,,HOLD,HOLD,HOLD
2016-07-25,1000.0,1000.0,1000.0,51.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,,,,HOLD,HOLD,HOLD
2016-12-26,1500.0,1500.0,1500.0,86.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,,,,HOLD,HOLD,HOLD
2017-01-16,1500.0,1500.0,1500.0,38.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,,,,HOLD,HOLD,HOLD
2017-01-23,1500.0,1500.0,1500.0,73.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,,,,HOLD,HOLD,HOLD
2017-01-30,1500.0,1500.0,1500.0,43.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,,,,HOLD,HOLD,HOLD
2017-03-13,1500.0,1500.0,1500.0,56.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,,,,HOLD,HOLD,HOLD
2017-11-20,1500.0,1500.0,1500.0,108.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,,,,HOLD,HOLD,HOLD
2017-11-27,1500.0,1500.0,1500.0,86.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,,,,HOLD,HOLD,HOLD
2017-12-11,1500.0,1500.0,1500.0,28.0,100.0,SELL,100.0,,SELL,-0.0,SELL,,HOLD,100.0,SELL,1285.7142857142858,1340.8572896082917,1400.0,BUY,BUY,BUY
2019-03-04,1800.0,1800.0,1800.0,75.0,100.0,SELL,100.0,,SELL,-0.0,SELL,,HOLD,100.0,SELL,1342.857142857143,1402.0763176605194,1468.5714285714287,BUY,BUY,BUY
2019-05-13,1800.0,1800.0,1800.0,38.0,100.0,SELL,100.0,100.0,SELL,-0.0,SELL,,HOLD,100.0,SELL,1400.0,1455.1328086391168,1529.5238095238096,BUY,BUY,BUY
2019-08-05,1800.0,1800.0,1800.0,27.0,100.0,SELL,100.0,100.0,SELL,-0.0,SELL,,HOLD,100.0,SELL,1457.142857142857,1501.115100820568,1582.857142857143,BUY,BUY,BUY
2019-09-30,1800.0,1800.0,1800.0,47.0,100.0,SELL,100.0,100.0,SELL,-0.0,SELL,,HOLD,100.0,SELL,1514.2857142857142,1540.966420711159,1628.5714285714287,BUY,BUY,BUY
2020-01-20,1800.0,1800.0,1800.0,73.0,100.0,SELL,100.0,100.0,SELL,-0.0,SELL,,HOLD,100.0,SELL,1571.4285714285713,1575.5042312830044,1666.6666666666667,BUY,BUY,BUY
2020-01-27,1800.0,1800.0,1800.0,105.0,100.0,SELL,100.0,100.0,SELL,-0.0,SELL,90.9090909090909,HOLD,100.0,SELL,1628.5714285714287,1605.4370004452705,1697.1428571428573,BUY,BUY,BUY
