Date,Close,Max,Min,Volume,RSI,RSI_Signal,Stoch_K,Stoch_D,Stoch_Signal,WilliamsR,WilliamsR_Signal,CCI,CCI_Signal,MFI,MFI_Signal
2014-11-10,5301.0,5458.0,5199.0,471.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2014-11-17,5470.0,5500.0,5310.0,94.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2014-11-24,5300.0,5311.0,5300.0,336.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2014-12-01,5300.0,5300.0,5300.0,78.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2014-12-15,5120.0,5152.0,5100.0,290.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2014-12-29,5298.0,5299.0,5120.0,70.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2015-01-05,5301.0,5400.0,5299.0,65.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2015-01-12,5350.0,5350.0,5300.0,50.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2015-01-19,5400.0,5450.0,5350.0,197.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2015-01-26,5450.0,5450.0,5350.0,143.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2015-02-02,5450.0,5450.0,5450.0,142.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2015-02-09,5450.0,5450.0,5450.0,495.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2015-02-16,5450.0,5450.0,5400.0,378.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2015-02-23,5400.0,5401.0,5400.0,450.0,55.61896769159796,HOLD,75.0,,HOLD,-25.0,HOLD,,HOLD,31.961882696255287,HOLD
2015-03-02,5400.0,5400.0,5399.0,103.0,55.61896769159796,HOLD,75.0,,HOLD,-25.0,HOLD,,HOLD,30.546283019619693,HOLD
2015-03-09,5250.0,5350.0,5250.0,134.0,41.05394383670425,HOLD,42.857142857142854,64.28571428571429,HOLD,-57.142857142857146,HOLD,,HOLD,26.07322430673321,HOLD
2015-03-16,5399.0,5400.0,5300.0,194.0,53.95326394836138,HOLD,85.42857142857143,67.76190476190476,SELL,-14.571428571428571,SELL,,HOLD,36.34658935143171,HOLD
2015-03-23,5450.0,5450.0,5350.0,1017.0,57.39033696008132,HOLD,100.0,76.09523809523809,SELL,-0.0,SELL,,HOLD,57.719249550099946,HOLD
2015-03-30,5350.0,5450.0,5350.0,212.0,49.576252381614935,HOLD,69.6969696969697,85.04184704184705,HOLD,-30.303030303030305,HOLD,,HOLD,58.9059850886805,HOLD
2015-04-06,6402.0,6600.0,5350.0,603.0,80.1680549175095,SELL,85.33333333333333,85.01010101010101,SELL,-14.666666666666666,SELL,500.4444444444439,SELL,65.70222680623755,HOLD
2015-04-13,6240.0,6400.0,6120.0,644.0,72.83946144990657,SELL,73.33333333333333,76.12121212121212,HOLD,-26.666666666666668,HOLD,359.7043141772651,SELL,71.01338981156067,HOLD
2015-04-20,6051.0,6229.0,6050.0,385.0,65.33535458813066,HOLD,59.333333333333336,72.66666666666667,HOLD,-40.666666666666664,HOLD,205.91855561056298,SELL,64.6178971506551,HOLD
2015-04-27,6000.0,6001.0,5900.0,312.177,63.43619073649904,HOLD,55.55555555555556,62.74074074074074,HOLD,-44.44444444444444,HOLD,126.61673667919528,SELL,58.748098044569026,HOLD
2015-05-04,6098.0,6100.0,6000.0,360.216,65.51080709182659,HOLD,62.81481481481482,59.23456790123456,HOLD,-37.18518518518518,HOLD,124.5177741112946,SELL,60.801999235457735,HOLD
2015-05-18,5520.0,5520.0,5461.0,45.0,48.15589942515495,HOLD,20.0,46.12345679012346,HOLD,-80.0,HOLD,-16.303380322507177,HOLD,59.16961681088927,HOLD
2015-06-01,5400.0,5500.0,5336.0,35.0,45.463085434482736,HOLD,11.11111111111111,31.308641975308646,BUY,-88.88888888888889,BUY,-41.055743154395614,HOLD,58.76922255376832,HOLD
2015-06-08,5400.0,5400.0,5400.0,50.0,45.463085434482736,HOLD,11.11111111111111,14.074074074074074,BUY,-88.88888888888889,BUY,-45.212309842157126,HOLD,62.76918486346257,HOLD
2015-06-15,5300.0,5301.0,5300.0,18.0,43.132069342073116,HOLD,3.7037037037037037,8.641975308641975,BUY,-96.29629629629629,BUY,-69.89594546106946,HOLD,68.90775407900205,HOLD
2015-06-22,5450.0,5450.0,5450.0,12.0,47.48189041261781,HOLD,14.814814814814815,9.876543209876543,BUY,-85.18518518518519,BUY,-32.77770708741579,HOLD,70.63369945167192,HOLD
2015-06-29,5500.0,5500.0,5500.0,12.0,48.88539049805268,HOLD,15.384615384615385,11.301044634377968,BUY,-84.61538461538461,BUY,-21.283054361999948,HOLD,72.91788645493267,HOLD
2015-07-06,5500.0,5500.0,5490.0,170.0,48.88539049805268,HOLD,15.384615384615385,15.194681861348528,BUY,-84.61538461538461,BUY,-22.839227812493245,HOLD,68.66189572976192,HOLD
2015-07-13,5382.0,5500.0,5382.0,104.0,45.5533873382836,HOLD,6.3076923076923075,12.35897435897436,BUY,-93.6923076923077,BUY,-41.76624266563888,HOLD,56.71421111550539,HOLD
2015-07-20,5500.0,5500.0,5500.0,23.0,49.27661208467667,HOLD,15.384615384615385,12.35897435897436,BUY,-84.61538461538461,BUY,-22.552696236906723,HOLD,60.92431561608783,HOLD
2015-07-27,5500.0,5500.0,5410.0,1150.0,49.27661208467667,HOLD,18.181818181818183,13.291375291375294,BUY,-81.81818181818181,BUY,-31.424882552701934,HOLD,33.56510420689824,HOLD
2015-08-03,5500.0,5665.0,5500.0,192.0,49.27661208467667,HOLD,21.52852529601722,18.3649862874836,HOLD,-78.47147470398278,HOLD,-11.48825065274147,HOLD,21.510098055251902,HOLD
2015-08-10,5670.0,5670.0,5505.0,612.0,54.83411700691375,HOLD,46.25,28.653447825945136,HOLD,-53.75,HOLD,-0.009113070421119076,HOLD,39.91956723970203,HOLD
2015-08-17,5840.0,5840.0,5670.0,45.0,59.60092547742659,HOLD,67.5,45.092841765339074,HOLD,-32.5,HOLD,39.609944795905996,HOLD,45.6165394022724,HOLD
2015-08-24,6000.0,6000.0,5800.0,448.0,63.50490426453334,HOLD,100.0,71.25,SELL,-0.0,SELL,69.69041922441252,HOLD,47.19775065221534,HOLD
2015-08-31,6150.0,6150.0,6000.0,167.0,66.74902070060364,HOLD,100.0,89.16666666666667,SELL,-0.0,SELL,97.56600160003875,HOLD,51.039654096204046,HOLD
2015-09-07,6101.0,6200.0,6090.0,222.0,64.72496140798857,HOLD,89.0,96.33333333333333,SELL,-11.0,SELL,104.46582539605802,SELL,55.22895110577149,HOLD
2015-09-14,6201.0,6300.0,6200.0,55.0,66.92897653506603,HOLD,90.1,93.03333333333335,SELL,-9.9,SELL,130.2410837845058,SELL,56.88387102454589,HOLD
2015-09-21,6500.0,6500.0,6200.0,68.0,72.46807964543578,SELL,100.0,93.03333333333335,SELL,-0.0,SELL,157.14590135239024,SELL,58.182681409266486,HOLD
2015-09-28,6360.0,6360.0,6360.0,64.0,66.82432739235875,HOLD,87.47763864042933,92.52587954680978,SELL,-12.522361359570661,SELL,132.80237733085454,SELL,56.789888028876646,HOLD
2015-10-05,6361.0,6361.0,6361.0,90.0,66.84419005549927,HOLD,87.56708407871199,91.68157423971377,SELL,-12.432915921288014,SELL,122.99880645182796,SELL,57.91373133253818,HOLD
2015-10-12,6360.0,6365.0,6360.0,17.0,66.8011189358885,HOLD,87.47763864042933,87.50745378652356,SELL,-12.522361359570661,SELL,107.01023091205923,SELL,61.05989365727155,HOLD
2015-10-19,6500.0,6500.0,6361.0,151.0,69.74075337013679,HOLD,100.0,91.68157423971377,SELL,-0.0,SELL,108.51614275082405,SELL,64.8574200982664,HOLD
2015-10-26,6901.0,6901.0,6503.0,178.0,76.23241594977459,SELL,100.0,95.82587954680979,SELL,-0.0,SELL,142.92372352378186,SELL,66.73922881789036,HOLD
2015-11-02,7001.0,7150.0,7000.0,630.0,77.52719431609991,SELL,90.96969696969697,96.989898989899,SELL,-9.030303030303031,SELL,165.3102068045363,SELL,97.77423736251502,SELL
2015-11-09,6901.0,6950.0,6901.0,132.0,73.23094273997324,SELL,84.86322188449849,91.94430628473181,SELL,-15.136778115501519,SELL,129.46916038840487,SELL,92.72022720541345,SELL
2015-11-16,7150.0,7150.0,7050.0,124.0,76.69419256825937,SELL,100.0,91.94430628473181,SELL,-0.0,SELL,142.72477482472684,SELL,91.52692965254344,SELL
