Date,Close,Max,Min,Volume,RSI,RSI_Signal,Stoch_K,Stoch_D,Stoch_Signal,WilliamsR,WilliamsR_Signal,CCI,CCI_Signal,MFI,MFI_Signal,SMA,EMA,WMA,SMA_Signal,EMA_Signal,WMA_Signal
2016-05-12,201.0,201.0,201.0,24.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,,,,HOLD,HOLD,HOLD
2017-06-06,600.0,600.0,600.0,131.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,,,,HOLD,HOLD,HOLD
2018-05-02,600.0,600.0,600.0,144.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,,,,HOLD,HOLD,HOLD
2018-07-01,608.0,608.0,608.0,187.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,,,,HOLD,HOLD,HOLD
2018-07-31,590.0,590.0,590.0,367.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,,,,HOLD,HOLD,HOLD
2018-08-30,607.0,607.0,590.0,605.036,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,,,,HOLD,HOLD,HOLD
2018-09-29,607.0,607.0,607.0,28.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,,,,HOLD,HOLD,HOLD
2018-11-28,607.0,607.0,607.0,85.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,,,,HOLD,HOLD,HOLD
2019-04-27,607.0,607.0,607.0,39.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,,,,HOLD,HOLD,HOLD
2019-08-25,607.0,607.0,607.0,67.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,,,,HOLD,HOLD,HOLD
2019-09-24,607.0,607.0,607.0,19.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,,,,HOLD,HOLD,HOLD
2020-12-17,607.0,607.0,607.0,85.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,,,,HOLD,HOLD,HOLD
2021-03-17,607.0,607.0,607.0,276.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,,,,HOLD,HOLD,HOLD
2021-04-16,607.0,607.0,607.0,403.0,95.04402555140673,SELL,99.75429975429975,,SELL,-0.2457002457002457,SELL,,HOLD,72.57900161903902,HOLD,575.8571428571429,542.8622102367864,602.0285714285715,BUY,BUY,BUY
2021-05-16,607.0,607.0,607.0,294.0,95.04402555140673,SELL,94.44444444444444,,SELL,-5.555555555555555,SELL,,HOLD,72.57900161903902,HOLD,604.8571428571429,551.4139155385482,606.1809523809525,BUY,BUY,BUY
2021-06-15,607.0,607.0,607.0,320.0,95.04402555140673,SELL,94.44444444444444,96.21439621439622,SELL,-5.555555555555555,SELL,,HOLD,69.5478652447391,HOLD,605.3571428571429,558.8253934667417,606.4666666666667,BUY,BUY,BUY
2021-07-15,607.0,607.0,607.0,224.0,95.04402555140673,SELL,94.44444444444444,94.44444444444444,SELL,-5.555555555555555,SELL,,HOLD,69.5478652447391,HOLD,605.8571428571429,565.2486743378429,606.6857142857143,BUY,BUY,BUY
2021-08-14,607.0,607.0,607.0,140.0,95.04402555140673,SELL,100.0,96.29629629629629,SELL,-0.0,SELL,,HOLD,63.75183125264154,HOLD,605.7857142857143,570.8155177594639,606.8380952380953,BUY,BUY,BUY
2021-09-13,607.0,607.0,607.0,140.0,95.04402555140673,SELL,100.0,98.14814814814815,SELL,-0.0,SELL,,HOLD,100.0,SELL,607.0,575.6401153915353,607.0,HOLD,BUY,HOLD
2021-10-13,607.0,607.0,607.0,42.0,95.04402555140673,SELL,,,HOLD,,HOLD,38.34744229795233,HOLD,100.0,SELL,607.0,579.8214333393306,607.0,HOLD,BUY,HOLD
2021-11-12,607.0,607.0,607.0,125.0,95.04402555140673,SELL,,,HOLD,,HOLD,40.25583145221931,HOLD,,HOLD,607.0,583.4452422274198,607.0,HOLD,BUY,HOLD
2021-12-12,607.0,607.0,607.0,35.0,95.04402555140673,SELL,,,HOLD,,HOLD,37.66973280770834,HOLD,,HOLD,607.0,586.5858765970972,607.0,HOLD,BUY,HOLD
2022-01-11,607.0,607.0,607.0,24.0,95.04402555140673,SELL,,,HOLD,,HOLD,35.23035230352164,HOLD,,HOLD,607.0,589.3077597174843,607.0,HOLD,BUY,HOLD
2022-02-10,607.0,607.0,607.0,36.0,95.04402555140673,SELL,,,HOLD,,HOLD,37.03703703703693,HOLD,,HOLD,607.0,591.6667250884864,607.0,HOLD,BUY,HOLD
2022-08-09,607.0,607.0,607.0,36.0,95.04402555140673,SELL,,,HOLD,,HOLD,35.08771929824376,HOLD,,HOLD,607.0,593.7111617433549,607.0,HOLD,BUY,HOLD
2022-09-08,607.0,607.0,607.0,18.0,95.04402555140673,SELL,,,HOLD,,HOLD,,HOLD,,HOLD,607.0,595.4830068442409,607.0,HOLD,BUY,HOLD
2023-03-07,607.0,607.0,607.0,16.0,95.04402555140673,SELL,,,HOLD,,HOLD,,HOLD,,HOLD,607.0,597.0186059316754,607.0,HOLD,BUY,HOLD
2023-04-06,607.0,607.0,607.0,37.0,95.04402555140673,SELL,,,HOLD,,HOLD,,HOLD,,HOLD,607.0,598.3494584741187,607.0,HOLD,BUY,HOLD
2023-05-06,607.0,607.0,607.0,89.0,95.04402555140673,SELL,,,HOLD,,HOLD,,HOLD,,HOLD,607.0,599.502864010903,607.0,HOLD,BUY,HOLD
2023-11-02,607.0,607.0,607.0,62.0,95.04402555140673,SELL,,,HOLD,,HOLD,,HOLD,,HOLD,607.0,600.5024821427826,607.0,HOLD,BUY,HOLD
2024-01-31,607.0,607.0,607.0,24.0,95.04402555140673,SELL,,,HOLD,,HOLD,,HOLD,,HOLD,607.0,601.3688178570783,607.0,HOLD,BUY,HOLD
2024-03-31,607.0,607.0,607.0,37.0,95.04402555140673,SELL,,,HOLD,,HOLD,,HOLD,,HOLD,607.0,602.1196421428012,607.0,HOLD,BUY,HOLD
2024-04-30,607.0,607.0,607.0,19.0,95.04402555140673,SELL,,,HOLD,,HOLD,,HOLD,,HOLD,607.0,602.770356523761,607.0,HOLD,BUY,HOLD
2024-05-30,607.0,607.0,607.0,23.0,95.04402555140673,SELL,,,HOLD,,HOLD,,HOLD,,HOLD,607.0,603.3343089872596,607.0,HOLD,BUY,HOLD
