Date,Last trade price,Max,Min,Avg.,Price %chg.,Volume,Turnover in BEST in denars,Total turnover in denars,Close,RSI,RSI_Signal,Stoch_K,Stoch_D,Stoch_Signal,WilliamsR,WilliamsR_Signal,CCI,CCI_Signal,MFI,MFI_Signal
2015-05-13,200.0,200.0,200.0,"200,00","-55,56",41.0,8.200,8.200,200.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2016-03-23,200.0,200.0,200.0,"200,00","0,00",59.0,11.800,11.800,200.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2016-11-23,200.0,200.0,200.0,"200,00","0,00",46.0,9.200,9.200,200.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2017-08-22,225.0,225.0,225.0,"225,00","12,50",11.0,2.475,2.475,225.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2018-01-30,231.0,231.0,231.0,"231,00","2,67",47.0,10.857,10.857,231.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2018-07-04,250.0,250.0,250.0,"250,00","8,23",111.0,27.750,27.750,250.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2019-10-24,257.0,257.0,257.0,"257,00","2,80",15.0,3.855,3.855,257.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2019-12-27,250.0,250.0,250.0,"250,00","-2,72",30.0,7.500,7.500,250.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2020-07-01,250.0,250.0,250.0,"250,00","0,00",198.0,49.500,49.500,250.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2020-07-16,155.0,155.0,155.0,"155,00","-38,00",834.0,129.270,129.270,155.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2021-05-10,250.0,250.0,250.0,"250,00","61,29",30.0,7.500,7.500,250.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2021-09-13,250.0,250.0,250.0,"250,00","0,00",5.781,1.445.250,1.445.250,250.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
